MonitoringLocationIdentifier,OrganizationIdentifier.x,OrganizationFormalName.x,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,Depth,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,Result,OrganizationIdentifier.y,OrganizationFormalName.y,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-29-1993:93GA32S89:3170340,Sample-Routine,Water,Surface Water,1993-08-29,18.29,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.1,mg/l,10.1,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-MI11:08-29-1993:93GA32S92:3170338,Sample-Routine,Water,Surface Water,1993-08-29,113.39,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10,mg/l,10,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G05:05GA59I12:4709871,Sample-Routine,Water,NA,2005-08-01,0,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.917,mg/l,11.917,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011M05:05GA20S01:4708067,Sample-Routine,Water,Surface Water,2005-04-01,1.3,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.450464,mg/l,11.450464,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-9611MI 11:96GA21S10:3006900,Sample-Routine,Water,Surface Water,1996-05-01,115,NA,NA,LG200,EPA_GLNPO,LG200,Rosette Sampler,NA,Chloride,Dissolved,10.406,mg/l,10.406,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G05:05GA59S15:4709870,Sample-Routine,Water,Surface Water,2005-08-01,26,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.366,mg/l,11.366,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011M05:05GA20S10:4708072,Sample-Routine,Water,Surface Water,2005-04-01,115.5,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.442305,mg/l,11.442305,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G05:05GA59S10:4709868,Sample-Routine,Water,Surface Water,2005-08-01,115.5,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.368,mg/l,11.368,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-9611MI 11:96GA21S01:3006893,Sample-Routine,Water,Surface Water,1996-05-01,1.5,NA,NA,LG200,EPA_GLNPO,LG200,Rosette Sampler,NA,Chloride,Dissolved,10.197,mg/l,10.197,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-9611MI 11:96GA21S03:3006894,Sample-Routine,Water,Surface Water,1996-05-01,62,NA,NA,LG200,EPA_GLNPO,LG200,Rosette Sampler,NA,Chloride,Dissolved,10.211,mg/l,10.211,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-9611MI 11:96GA21S11:3006901,Sample-Routine,Water,Surface Water,1996-05-01,123,NA,NA,LG200,EPA_GLNPO,LG200,Rosette Sampler,NA,Chloride,Dissolved,10.245,mg/l,10.245,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011M05:05GA20S03:4708071,Sample-Routine,Water,Surface Water,2005-04-01,62.5,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.444606,mg/l,11.444606,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011M06:06GA21S03:4711753,Sample-Routine,Water,Surface Water,2006-04-01,65.1,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.702,mg/l,11.702,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G06:06GA59S01:4713350,Sample-Routine,Water,Surface Water,2006-08-02,2.4,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,12.147,mg/l,12.147,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011M06:06GA21S01:4711749,Sample-Routine,Water,Surface Water,2006-04-01,1.6,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.705,mg/l,11.705,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G06:06GA59S06:4713353,Sample-Routine,Water,Surface Water,2006-08-02,65.8,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.663,mg/l,11.663,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G06:06GA59S02:4713352,Sample-Routine,Water,Surface Water,2006-08-02,5.4,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,12.13,mg/l,12.13,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G06:06GA59I12:4713357,Sample-Routine,Water,NA,2006-08-02,0,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,12.209,mg/l,12.209,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
EPA_GLNPO-MI11,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M011G06:06GA59S15:4713356,Sample-Routine,Water,Surface Water,2006-08-02,30.6,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,11.661,mg/l,11.661,EPA_GLNPO,EPA Great Lakes National Program,MI11,Great Lake,Open Lake sampling station,NA,NA,NA,NA,NA,42.39657622,-87.0001615,26,159
